idx,#T,-RT ln Z,Z
1,-180,-70.9274,2.5586200000000008e+166
2,-180,-53.7392,1.2061200000000002e+126
3,-180,-60.358000000000004,4.075160000000001e+141
4,-180,-62.3156,1.5967100000000003e+146
5,-180,-74.6954,1.7709300000000005e+175
6,-180,-83.4149,5.077490000000002e+195
7,-180,-48.2771,1.8467400000000004e+113
8,-180,-64.7699,9.146560000000003e+151
9,-180,-69.9974,1.6827200000000005e+164
10,-180,-60.5296,1.0303000000000003e+142
11,-180,-53.4641,2.7287800000000004e+125
12,-180,-63.5749,1.4375700000000003e+149
13,-180,-71.7873,2.6631800000000007e+168
14,-180,-57.7258,2.7200500000000008e+135
15,-180,-61.2403,4.790270000000001e+143
16,-180,-77.8708,4.991890000000001e+182
17,-180,-57.3962,4.585050000000001e+134
18,-180,-71.0362,4.604850000000002e+166
19,-180,-58.5084,1.8655700000000005e+137
20,-180,-59.1829,7.132180000000002e+138
21,-180,-63.506,9.907770000000002e+148
22,-180,-64.5729,3.155250000000001e+151
23,-180,-66.9646,1.2894100000000003e+157
24,-180,-62.5761,6.5218300000000016e+146
25,-180,-68.3568,2.3816400000000007e+160
26,-180,-72.2918,4.063760000000002e+169
27,-180,-63.2949,3.167040000000001e+148
28,-180,-60.9012,7.667800000000002e+142
29,-180,-83.4781,7.145350000000002e+195
30,-180,-71.4142,3.548560000000001e+167
31,-180,-75.9323,1.4136400000000005e+178
32,-180,-57.9546,9.363490000000003e+135
33,-180,-68.1238,6.763980000000001e+159
34,-180,-88.6535,9.916530000000005e+207
35,-180,-53.0906,3.628210000000001e+124
36,-180,-64.3243,8.241320000000002e+150
37,-180,-54.2481,1.8851500000000003e+127
38,-180,-66.7828,4.829440000000001e+156
39,-180,-52.5779,2.2738700000000003e+123
40,-180,-67.9514,2.664990000000001e+159
41,-180,-63.2193,2.1060500000000006e+148
42,-180,-70.4414,1.8524500000000008e+165
43,-180,-60.9312,9.019700000000002e+142
44,-180,-85.5432,5.0010400000000016e+200
45,-180,-55.8025,8.361090000000001e+130
46,-180,-53.5674,4.768540000000001e+125
47,-180,-57.0732,8.008460000000002e+133
48,-180,-69.2074,2.357910000000001e+162
49,-180,-55.988,2.2772700000000006e+131
50,-180,-75.8801,1.0659300000000003e+178
51,-180,-59.669,9.857360000000003e+139
52,-180,-68.7229,1.7210600000000004e+161
53,-180,-54.0458,6.322040000000002e+126
54,-180,-67.0365,1.9016400000000007e+157
55,-180,-58.8274,1.0450000000000002e+138
56,-180,-58.9442,1.9645900000000005e+138
57,-180,-70.6917,7.161390000000003e+165
58,-180,-57.7287,2.7631000000000006e+135
59,-180,-83.1055,9.548030000000001e+194
60,-180,-68.3744,2.6183400000000007e+160
61,-180,-64.9408,2.3025800000000006e+152
62,-180,-49.7723,5.947780000000001e+116
63,-180,-54.0293,5.780050000000001e+126
64,-180,-84.5468,2.297560000000001e+198
65,-180,-94.0128,3.7169000000000016e+220
66,-180,-63.1494,1.4435500000000005e+148
67,-180,-71.1216,7.302990000000003e+166
68,-180,-65.3756,2.4124800000000007e+153
69,-180,-70.8484,1.6694400000000006e+166
70,-180,-77.1745,1.1607200000000005e+181
71,-180,-54.8091,3.905210000000001e+128
72,-180,-55.5694,2.3729400000000003e+130
73,-180,-49.9224,1.3379900000000004e+117
74,-180,-58.6141,3.301350000000001e+137
75,-180,-66.9444,1.1561800000000003e+157
76,-180,-64.1964,4.128720000000001e+150
77,-180,-99.5574,3.7908800000000013e+233
78,-180,-83.2216,1.7875500000000006e+195
79,-180,-63.2492,2.4741900000000005e+148
80,-180,-88.6902,1.2093900000000004e+208
81,-180,-84.5508,2.347590000000001e+198
82,-180,-71.1907,1.0606100000000004e+167
83,-180,-103.839,4.203420000000003e+243
84,-180,-82.039,3.0032600000000006e+192
85,-180,-65.4635,3.878880000000001e+153
86,-180,-80.081,7.652660000000002e+187
87,-180,-86.8946,7.406400000000003e+203
88,-180,-74.3245,2.3877200000000007e+174
89,-180,-64.0697,2.0825500000000007e+150
90,-180,-90.8356,1.3060900000000006e+213
91,-180,-71.3489,2.4938200000000005e+167
92,-180,-73.7474,1.0569400000000004e+173
93,-180,-91.1347,6.570620000000002e+213
94,-180,-79.8665,2.401350000000001e+187
95,-180,-79.5817,5.156050000000002e+186
96,-180,-62.2119,9.114350000000002e+145
97,-180,-60.3448,3.795710000000001e+141
98,-180,-80.8249,4.257410000000001e+189
99,-180,-80.1485,1.1020300000000005e+188
100,-180,-79.5397,4.1106100000000006e+186
101,-180,-79.0993,3.807150000000001e+185
102,-180,-44.5064,2.628940000000001e+104
103,-180,-57.6945,2.2969500000000006e+135
104,-180,-77.5657,9.606680000000004e+181
105,-180,-93.4149,1.4705800000000008e+219
106,-180,-74.8609,4.330650000000001e+175
107,-180,-86.5354,1.0639300000000003e+203
108,-180,-57.6552,1.8581000000000004e+135
109,-180,-64.6114,3.8850000000000007e+151
110,-180,-69.235,2.7371900000000008e+162
111,-180,-74.1222,8.005950000000003e+173
112,-180,-74.8486,4.053330000000002e+175
113,-180,-65.905,4.212170000000001e+154
114,-180,-77.6997,1.981410000000001e+182
115,-180,-76.2263,6.920470000000002e+178
116,-180,-87.9809,2.620410000000001e+206
117,-180,-76.0377,2.497340000000001e+178
118,-180,-66.5345,1.2626300000000004e+156
119,-180,-56.7549,1.4345700000000003e+133
120,-180,-65.4167,3.011880000000001e+153
121,-180,-69.29899999999999,3.867590000000001e+162
122,-180,-68.8311,3.087190000000001e+161
123,-180,-61.5678,2.8098700000000008e+144
124,-180,-66.3212,3.9892900000000013e+155
125,-180,-89.1279,1.2866200000000006e+209
126,-180,-61.4991,1.9388600000000006e+144
127,-180,-83.2671,2.2849000000000008e+195
128,-180,-80.5851,1.1656500000000002e+189
129,-180,-78.4754,1.3083100000000005e+184
130,-180,-86.4903,8.341350000000003e+202
131,-180,-56.9796,4.829780000000001e+133
132,-180,-75.6775,3.567650000000001e+177
133,-180,-72.3406,5.289370000000002e+169
134,-180,-55.7413,6.007910000000001e+130
135,-180,-56.9612,4.3741500000000013e+133
136,-180,-63.1538,1.4783100000000003e+148
137,-180,-74.1736,1.0571100000000003e+174
138,-180,-67.85300000000001,1.5664700000000005e+159
139,-180,-52.535,1.8039700000000003e+123
140,-180,-97.1497,8.510520000000004e+227
141,-180,-56.5061,3.74201e+132
142,-180,-84.1152,2.231890000000001e+197
143,-180,-83.6523,1.8310100000000007e+196
144,-180,-78.8785,1.1549300000000004e+185
145,-180,-69.9716,1.4634900000000003e+164
146,-180,-60.7697,3.768080000000001e+142
147,-180,-49.9072,1.2329400000000005e+117
148,-180,-74.75399999999999,2.430250000000001e+175
149,-180,-57.0478,6.979930000000002e+133
150,-180,-51.544,8.533090000000002e+120
151,-180,-48.0243,4.712390000000001e+112
152,-180,-93.7821,1.0690300000000004e+220
153,-180,-84.6022,3.100110000000001e+198
154,-180,-76.7544,1.1997600000000004e+180
155,-180,-71.613,1.0383800000000004e+168
156,-180,-70.3422,1.0837100000000003e+165
157,-180,-70.7268,8.655900000000004e+165
158,-180,-65.62,9.031720000000003e+153
159,-180,-60.2635,2.4469000000000005e+141
160,-180,-59.8869,3.199230000000001e+140
161,-180,-76.4893,2.865040000000001e+179
162,-180,-71.6791,1.4842000000000006e+168
163,-180,-52.6643,3.627370000000001e+123
164,-180,-79.0409,2.7766600000000005e+185
165,-180,-61.1428,2.8276600000000007e+143
166,-180,-62.7159,1.3873900000000004e+147
167,-180,-57.9504,9.152880000000003e+135
168,-180,-64.0751,2.1444900000000006e+150
169,-180,-64.9838,2.905770000000001e+152
170,-180,-54.8402,4.618370000000001e+128
171,-180,-82.7008,1.0720900000000005e+194
172,-180,-65.1742,8.126990000000002e+152
173,-180,-78.4535,1.1623800000000003e+184
174,-180,-55.626000000000005,3.222720000000001e+130
175,-180,-74.3505,2.7485000000000013e+174
176,-180,-57.9375,8.536700000000003e+135
177,-180,-69.4817,1.0376500000000001e+163
178,-180,-86.1921,1.6656900000000007e+202
179,-180,-47.2088,5.753470000000001e+110
180,-180,-69.9749,1.4902800000000004e+164
181,-180,-65.0853,5.027140000000002e+152
182,-180,-72.9253,1.2452700000000002e+171
183,-180,-57.5348,9.693470000000003e+134
184,-180,-53.9384,3.538370000000001e+126
185,-180,-85.8496,2.617290000000001e+201
186,-180,-62.882,3.403290000000001e+147
187,-180,-67.393,1.3049900000000004e+158
188,-180,-67.4746,2.0275600000000006e+158
189,-180,-62.3459,1.8805300000000005e+146
190,-180,-69.8787,8.861590000000002e+163
191,-180,-93.8605,1.6323000000000008e+220
192,-180,-82.1094,4.392870000000001e+192
193,-180,-53.6298,6.6777300000000016e+125
194,-180,-91.0288,3.707970000000002e+213
195,-180,-61.0566,1.7753200000000004e+143
196,-180,-80.1914,1.3894300000000003e+188
197,-180,-64.3708,1.0591900000000004e+151
198,-180,-73.751,1.0779800000000004e+173
