idx,#T,-RT ln Z,Z
1,37,-8.61122,1169120.0
2,37,-3.73095,425.597
3,37,-7.87394,353460.0
4,37,-6.49822,37926.6
5,37,-12.1815,383367000.0
6,37,-12.719,917067000.0
7,37,-2.46016,54.1425
8,37,-4.582,1693.11
9,37,-6.61611,45921.2
10,37,-4.51726,1524.3
11,37,-2.76127,88.2508
12,37,-8.56639,1087100.0
13,37,-11.0075,57070000.0
14,37,-9.36912,3998630.0
15,37,-7.74089,284830.0
16,37,-9.37345,4026840.0
17,37,-1.19451,6.94559
18,37,-10.5051,25255900.0
19,37,-3.93923,596.706
20,37,-9.31312,3651320.0
21,37,-7.75266,290320.0
22,37,-8.50786,988624.0
23,37,-9.30057,3577730.0
24,37,-4.30931,1087.76
25,37,-5.41045,6493.13
26,37,-7.06925,95788.8
27,37,-3.64921,372.733
28,37,-5.63805,9393.48
29,37,-9.97634,10710000.0
30,37,-10.5523,27266900.0
31,37,-13.8591,5830850000.0
32,37,-4.14808,837.39
33,37,-4.06247,728.786
34,37,-18.4864,1.06252e+13
35,37,-4.13833,824.253
36,37,-5.90723,14537.9
37,37,-3.16725,170.525
38,37,-7.5594,212177.0
39,37,-6.27238,26291.0
40,37,-4.60654,1761.9
41,37,-8.62112,1188050.0
42,37,-10.094,12963600.0
43,37,-7.85923,345122.0
44,37,-12.8651,1162380000.0
45,37,-5.75407,11339.1
46,37,-4.08904,760.894
47,37,-7.11537,103233.0
48,37,-9.03283,2317100.0
49,37,-5.10155,3933.6
50,37,-8.24305,643329.0
51,37,-7.18681,115919.0
52,37,-10.2414,16465200.0
53,37,-3.42038,257.133
54,37,-7.89875,367976.0
55,37,-4.30969,1088.43
56,37,-3.57945,332.846
57,37,-7.15826,110672.0
58,37,-5.77869,11801.4
59,37,-16.0845,2.1571e+11
60,37,-8.6007,1149350.0
61,37,-5.78007,11827.7
62,37,-3.85049,516.692
63,37,-9.13025,2713910.0
64,37,-11.9478,262411000.0
65,37,-12.674,852511000.0
66,37,-3.10027,152.965
67,37,-8.71515,1383870.0
68,37,-5.91096,14626.4
69,37,-6.50294,38218.4
70,37,-5.58292,8589.75
71,37,-3.49646,290.914
72,37,-8.03875,461818.0
73,37,-1.96046,24.0675
74,37,-5.63609,9363.75
75,37,-10.8382,43360300.0
76,37,-8.93821,1987360.0
77,37,-20.193,1.69392e+14
78,37,-13.8694,5929050000.0
79,37,-7.56384,213712.0
80,37,-14.5969,19302700000.0
81,37,-8.09815,508542.0
82,37,-6.34985,29812.3
83,37,-23.1217,1.96159e+16
84,37,-12.045,307240000.0
85,37,-8.48651,954953.0
86,37,-7.77879,302895.0
87,37,-13.5813,3715710000.0
88,37,-13.6225,3972440000.0
89,37,-10.4608,23506900.0
90,37,-20.0152,1.26958e+14
91,37,-10.8211,42176800.0
92,37,-5.10903,3981.57
93,37,-14.3736,13437300000.0
94,37,-9.72586,7133270.0
95,37,-17.2378,1.40126e+12
96,37,-7.28412,135746.0
97,37,-7.25086,128614.0
98,37,-14.0987,8602220000.0
99,37,-10.4196,21985100.0
100,37,-7.12485,104832.0
101,37,-12.0946,332976000.0
102,37,-3.98214,639.738
103,37,-3.21058,182.945
104,37,-4.3814,1222.74
105,37,-19.1484,3.11058e+13
106,37,-8.80443,1599580.0
107,37,-13.7605,4968990000.0
108,37,-4.92942,2975.06
109,37,-6.57885,43227.8
110,37,-9.36065,3944080.0
111,37,-7.56417,213828.0
112,37,-8.2798,682854.0
