idx,#T,-RT ln Z,Z
1,-130,-53.7677,1.22077e+82
2,-130,-39.2436,8.1812e+59
3,-130,-46.3244,5.28481e+70
4,-130,-47.4883,3.16188e+72
5,-130,-59.1977,2.38078e+90
6,-130,-65.4477,8.28768e+99
7,-130,-34.8401,1.54938e+53
8,-130,-50.2613,5.41374e+76
9,-130,-53.0647,1.03138e+81
10,-130,-46.4451,8.07815e+70
11,-130,-38.1173,1.56098e+58
12,-130,-49.6663,6.68443e+75
13,-130,-57.467,5.42482e+87
14,-130,-43.8406,8.53304e+66
15,-130,-46.0514,2.0244e+70
16,-130,-60.5173,2.46228e+92
17,-130,-41.1055,5.69485e+62
18,-130,-56.5241,1.97211e+86
19,-130,-43.9335,1.18261e+67
20,-130,-45.3162,1.52694e+69
21,-130,-49.2155,1.37078e+75
22,-130,-49.0074,6.59365e+74
23,-130,-51.8929,1.67648e+79
24,-130,-46.4468,8.12878e+70
25,-130,-51.4147,3.12199e+78
26,-130,-54.7994,4.59037e+83
27,-130,-47.9083,1.38433e+73
28,-130,-45.8585,1.02759e+70
29,-130,-64.4335,2.34513e+98
30,-130,-55.7248,1.18726e+85
31,-130,-59.8139,2.07676e+91
32,-130,-44.1379,2.4268e+67
33,-130,-51.5382,4.81857e+78
34,-130,-71.3859,9.64487e+108
35,-130,-38.7327,1.35814e+59
36,-130,-48.311,5.70104e+73
37,-130,-39.8705,7.4116e+60
38,-130,-51.3513,2.49838e+78
39,-130,-40.2772,3.09689e+61
40,-130,-50.6502,2.12431e+77
41,-130,-49.8432,1.24519e+76
42,-130,-55.1758,1.72379e+84
43,-130,-45.5319,3.25968e+69
44,-130,-67.0207,2.08904e+102
45,-130,-41.9627,1.15912e+64
46,-130,-40.2413,2.72944e+61
47,-130,-42.4482,6.38628e+64
48,-130,-53.8131,1.43241e+82
49,-130,-41.8722,8.43192e+63
50,-130,-59.3325,3.82305e+90
51,-130,-45.1905,9.81685e+68
52,-130,-52.7319,3.20121e+80
53,-130,-38.4473,4.98008e+58
54,-130,-52.0518,2.93117e+79
55,-130,-43.795,7.26952e+66
56,-130,-44.4416,7.05808e+67
57,-130,-55.5852,7.27004e+84
58,-130,-42.3265,4.16361e+64
59,-130,-66.3031,1.67623e+101
60,-130,-51.9919,2.37457e+79
61,-130,-49.5452,4.36744e+75
62,-130,-36.5555,6.4415e+55
63,-130,-41.5109,2.36802e+63
64,-130,-67.0544,2.35204e+102
65,-130,-75.1704,5.78104e+114
66,-130,-47.6376,5.34426e+72
67,-130,-54.5037,1.62304e+83
68,-130,-48.7917,3.08979e+74
69,-130,-53.2012,1.66667e+81
70,-130,-58.5052,2.08679e+89
71,-130,-40.593,9.3967e+61
72,-130,-42.3493,4.51158e+64
73,-130,-36.8973,2.14196e+56
74,-130,-43.3248,1.392e+66
75,-130,-51.9186,1.83514e+79
76,-130,-49.6313,5.91207e+75
77,-130,-80.6956,1.57528e+123
78,-130,-66.2074,1.19745e+101
79,-130,-48.7369,2.54831e+74
80,-130,-70.1588,1.29103e+107
81,-130,-65.3806,6.54767e+99
82,-130,-55.5045,5.47296e+84
83,-130,-85.0771,7.70173e+129
84,-130,-65.2532,4.1827e+99
85,-130,-49.7284,8.31632e+75
86,-130,-62.6903,5.11349e+95
87,-130,-69.3876,8.58087e+105
88,-130,-57.0268,1.15448e+87
89,-130,-49.4977,3.69562e+75
90,-130,-74.2203,2.04867e+113
91,-130,-55.0941,1.29322e+84
92,-130,-56.6285,2.84574e+86
93,-130,-72.4863,4.61533e+110
94,-130,-61.7283,1.73813e+94
95,-130,-64.1733,9.39425e+97
96,-130,-47.6239,5.09339e+72
97,-130,-46.5537,1.1836e+71
98,-130,-64.3485,1.73926e+98
99,-130,-63.095,2.12132e+96
100,-130,-61.3058,3.93623e+93
101,-130,-62.6762,4.8667e+95
102,-130,-33.6006,1.98528e+51
103,-130,-44.0635,1.86777e+67
104,-130,-58.7708,5.3082e+89
105,-130,-74.5952,7.65499e+113
106,-130,-58.8479,6.9606e+89
107,-130,-68.8867,1.47489e+105
108,-130,-44.3252,4.6875e+67
109,-130,-49.0737,8.32582e+74
110,-130,-53.1754,1.52199e+81
111,-130,-56.1165,4.70567e+85
112,-130,-58.7283,4.57031e+89
113,-130,-50.1147,3.23326e+76
114,-130,-59.4729,6.26206e+90
115,-130,-60.0476,4.72213e+91
116,-130,-69.019,2.34863e+105
117,-130,-58.9875,1.13698e+90
118,-130,-51.5317,4.71069e+78
119,-130,-44.1306,2.36533e+67
120,-130,-51.0845,9.77822e+77
121,-130,-53.5159,5.03823e+81
122,-130,-53.538,5.44613e+81
123,-130,-45.7642,7.37578e+69
124,-130,-50.6023,1.79524e+77
125,-130,-70.5945,5.97114e+107
126,-130,-45.9111,1.23606e+70
127,-130,-66.168,1.04274e+101
128,-130,-62.3484,1.53727e+95
129,-130,-61.0541,1.62482e+93
130,-130,-68.6258,5.89456e+104
131,-130,-42.0494,1.57236e+64
132,-130,-59.13,1.87613e+90
133,-130,-56.6476,3.04348e+86
134,-130,-40.5577,8.30137e+61
135,-130,-44.2183,3.21887e+67
136,-130,-47.234,1.29348e+72
137,-130,-58.0484,4.18774e+88
138,-130,-52.8737,5.26967e+80
139,-130,-40.9997,3.92492e+62
140,-130,-76.812,1.85448e+117
141,-130,-42.8071,2.25532e+65
142,-130,-63.9399,4.13565e+97
143,-130,-66.4546,2.85582e+101
144,-130,-62.9504,1.27585e+96
