idx,#T,-RT ln Z,Z
42737,25,-3.76145,571.695
42738,25,-0.0279562,1.0483200000000001
42739,25,-26.9234,5.43288e+19
42740,25,-15.1474,126799000000.0
42741,25,-15.8214,395508000000.0
42742,25,-19.1335,105929000000000.0
42743,25,-14.8966,83038600000.0
42744,25,-17.9522,14424200000000.0
42745,25,-3.40761,314.631
42746,25,-12.7117,2078470000.0
42747,25,-18.257,24127200000000.0
42748,25,-4.55361,2176.83
42749,25,-15.6468,294563000000.0
42750,25,-14.3175,31247900000.0
42751,25,-21.1192,3023410000000000.0
42752,25,-21.7193,8324590000000000.0
42753,25,-20.0728,517012000000000.0
42754,25,-23.9976,3.89393e+17
42755,25,-13.9263,16146300000.0
42756,25,-0.174523,1.34254
42757,25,-10.06,23661600.0
42758,25,-13.0954,3971830000.0
42759,25,-21.5449,6202590000000000.0
42760,25,-20.191,631183000000000.0
42761,25,-23.6568,2.19063e+17
42762,25,-19.6889,270440000000000.0
42763,25,-12.3748,1177100000.0
42764,25,-21.6005,6812390000000000.0
42765,25,-18.7732,57663900000000.0
42766,25,-13.9842,17804500000.0
42767,25,-19.6727,263157000000000.0
42768,25,-19.6481,252478000000000.0
42769,25,-19.0362,89883100000000.0
42770,25,-14.1017,21708300000.0
42771,25,-15.0479,107200000000.0
42772,25,-20.8086,1789980000000000.0
42773,25,-20.6159,1292890000000000.0
42774,25,-30.2155,1.40662e+22
42775,25,-19.3889,162995000000000.0
42776,25,-20.9768,2377390000000000.0
42777,25,-18.1248,19300700000000.0
42778,25,-18.1993,21886700000000.0
42779,25,-23.5407,1.80078e+17
42780,25,-26.4051,2.26543e+19
42781,25,-18.0611,17333300000000.0
42782,25,-23.7126,2.40691e+17
42783,25,-19.35,152634000000000.0
42784,25,-8.93615,3550220.0
42785,25,-15.7838,371238000000.0
42786,25,-18.7982,60147500000000.0
42787,25,-15.7694,362282000000.0
42788,25,-31.8338,2.15953e+23
42789,25,-17.9739,14962700000000.0
42790,25,-18.5672,40728600000000.0
42791,25,-17.1161,3517510000000.0
42792,25,-21.705,8126780000000000.0
42793,25,-18.3151,26615000000000.0
42794,25,-23.9314,3.48226e+17
42795,25,-28.1495,4.30321e+20
42796,25,-21.6496,7401570000000000.0
42797,25,-16.1589,699174000000.0
42798,25,-13.0537,3701960000.0
42799,25,-20.7411,1597090000000000.0
42800,25,-15.3614,181974000000.0
42801,25,-14.7014,59736800000.0
42802,25,-15.5272,240747000000.0
42803,25,-12.1071,749187000.0
42804,25,-25.4241,4.32582e+18
42805,25,-3.0863,182.92700000000002
42806,25,-19.9463,417611000000000.0
42807,25,-14.4263,37544500000.0
42808,25,-17.1106,3484590000000.0
42809,25,-14.817,72607800000.0
42810,25,-10.5157,51059900.0
42811,25,-6.21916,36197.9
42812,25,-23.2265,1.05967e+17
