idx,#T,-RT ln Z,Z
1,-40,-26.4209,5.83365e+24
2,-40,-17.7664,4.50311e+16
3,-40,-22.491,1.20835e+21
4,-40,-23.662,1.51318e+22
5,-40,-31.4907,3.29736e+29
6,-40,-35.4684,1.76499e+33
7,-40,-13.9948,13127800000000.0
8,-40,-24.1655,4.48529e+22
9,-40,-25.7973,1.51844e+24
10,-40,-21.3707,1.07676e+20
11,-40,-14.8679,86422200000000.0
12,-40,-26.2251,3.82281e+24
13,-40,-31.6974,5.15154e+29
14,-40,-21.8288,2.89395e+20
15,-40,-22.4147,1.02497e+21
16,-40,-31.7282,5.50616e+29
17,-40,-14.8456,82348700000000.0
18,-40,-30.4123,3.2159e+28
19,-40,-20.6263,2.15907e+19
20,-40,-24.706,1.44025e+23
21,-40,-24.9695,2.5436e+23
22,-40,-24.5023,9.27954e+22
23,-40,-27.5842,7.1843e+25
24,-40,-18.3843,1.70896e+17
25,-40,-24.0472,3.47472e+22
26,-40,-25.0434,2.98346e+23
27,-40,-20.4026,1.33242e+19
28,-40,-21.888,3.2883e+20
29,-40,-33.7762,4.57605e+31
30,-40,-28.2844,3.25651e+26
31,-40,-34.0565,8.38118e+31
32,-40,-19.4241,1.61201e+18
33,-40,-22.0342,4.50847e+20
34,-40,-40.908,2.21616e+38
35,-40,-17.2172,1.37637e+16
36,-40,-22.0508,4.67294e+20
37,-40,-15.612,430591000000000.0
38,-40,-24.3667,6.92506e+22
39,-40,-20.0753,6.57333e+18
40,-40,-22.0974,5.16739e+20
41,-40,-26.5748,8.13157e+24
42,-40,-28.194000000000003,2.67893e+26
43,-40,-22.1336,5.58711e+20
44,-40,-35.931999999999995,4.80084e+33
45,-40,-20.2502,9.58809e+18
46,-40,-17.2174,1.37693e+16
47,-40,-20.7082,2.57694e+19
48,-40,-28.6288,6.84742e+26
49,-40,-19.3644,1.41716e+18
50,-40,-29.6932,6.8119e+27
51,-40,-21.965,3.88283e+20
52,-40,-26.7505,1.18815e+25
53,-40,-14.7566,67969000000000.0
54,-40,-25.5672,9.24185e+23
55,-40,-18.1217,9.69657e+16
56,-40,-20.8173,3.26086e+19
57,-40,-28.6581,7.29484e+26
58,-40,-17.8012,4.85457e+16
59,-40,-37.4128,1.17309e+35
60,-40,-25.9024,1.90494e+24
61,-40,-22.3798,9.50504e+20
62,-40,-13.689,6785350000000.0
63,-40,-22.6936,1.87126e+21
64,-40,-35.5878,2.28399e+33
65,-40,-41.2612,4.74955e+38
66,-40,-19.8627,4.15492e+18
67,-40,-27.0858,2.45028e+25
68,-40,-21.7612,2.50124e+20
69,-40,-24.6205,1.19769e+23
70,-40,-25.5703,9.30214e+23
71,-40,-16.6294,3870640000000000.0
72,-40,-21.0017,4.85501e+19
73,-40,-14.4933,38501600000000.0
74,-40,-19.1412,8.75478e+17
75,-40,-29.1304,2.02175e+27
76,-40,-24.7188,1.48067e+23
77,-40,-47.4646,3.1010200000000002e+44
78,-40,-36.0819,6.63464e+33
79,-40,-23.8548,2.29385e+22
80,-40,-38.141,5.6489e+35
81,-40,-31.6641,4.79463e+29
82,-40,-27.3483,4.31804e+25
83,-40,-51.3166,1.26543e+48
84,-40,-35.0641,7.37557e+32
85,-40,-24.1542,4.37747e+22
86,-40,-31.4602,3.08764e+29
87,-40,-37.8848,3.24888e+35
88,-40,-30.0633,1.51426e+28
89,-40,-27.0716,2.37623e+25
90,-40,-44.3255,3.54019e+41
91,-40,-27.8644,1.3154e+26
92,-40,-26.2683,4.19651e+24
93,-40,-40.5747,1.0793e+38
94,-40,-29.4136,3.72566e+27
95,-40,-37.037,5.21238e+34
96,-40,-23.9561,2.85474e+22
97,-40,-23.5381,1.15801e+22
98,-40,-35.196999999999996,9.82471e+32
99,-40,-32.6611,4.1236e+30
100,-40,-28.6892,7.80049e+26
101,-40,-33.4745,2.38643e+31
102,-40,-14.2624,23389400000000.0
103,-40,-19.9425,4.93538e+18
104,-40,-27.9883,1.71867e+26
105,-40,-43.0391,2.20385e+40
106,-40,-30.0912,1.60818e+28
107,-40,-37.1242,6.2923e+34
108,-40,-20.5335,1.76745e+19
109,-40,-22.4759,1.16973e+21
110,-40,-27.3563,4.3933e+25
111,-40,-25.9925,2.3142e+24
112,-40,-29.9728,1.24548e+28
113,-40,-24.1019,3.91012e+22
114,-40,-27.2296,3.3417e+25
115,-40,-31.1005,1.42047e+29
116,-40,-36.5833,1.9577e+34
117,-40,-28.5214,5.43043e+26
118,-40,-26.1321,3.12808e+24
119,-40,-21.9693,3.91947e+20
120,-40,-25.6112,1.01614e+24
121,-40,-25.5729,9.35559e+23
122,-40,-28.5148,5.35461e+26
123,-40,-20.4495,1.47415e+19
124,-40,-25.1746,3.95981e+23
125,-40,-39.342,7.545379999999999e+36
126,-40,-20.8543,3.53206e+19
127,-40,-38.1907,6.28843e+35
128,-40,-30.9163,9.54459e+28
129,-40,-32.0173,1.02753e+30
130,-40,-36.4764,1.55456e+34
131,-40,-17.3561,1.85759e+16
132,-40,-30.6908,5.86651e+28
133,-40,-29.9686,1.23422e+28
134,-40,-15.3774,259559000000000.0
135,-40,-22.1145,5.36104e+20
136,-40,-21.3257,9.77034e+19
137,-40,-29.0304,1.62929e+27
138,-40,-25.9334,2.03681e+24
139,-40,-20.3494,1.18789e+19
140,-40,-42.7654,1.22077e+40
141,-40,-18.7279,3.5876e+17
142,-40,-32.5342,3.13578e+30
143,-40,-35.9399,4.88345e+33
144,-40,-36.0503,6.19743e+33
145,-40,-24.0719,3.66514e+22
146,-40,-23.1157,4.65314e+21
147,-40,-16.4799,2802870000000000.0
148,-40,-29.6911,6.78097e+27
149,-40,-20.2799,1.02226e+19
150,-40,-16.5725,3423160000000000.0
151,-40,-12.8992,1233660000000.0
152,-40,-43.9713,1.6482700000000001e+41
153,-40,-34.0414,8.11087e+31
154,-40,-32.6067,3.66685e+30
155,-40,-28.5261,5.4866e+26
156,-40,-24.7321,1.52389e+23
157,-40,-27.6545,8.3612e+25
158,-40,-29.6323,5.97317e+27
159,-40,-20.0885,6.76352e+18
160,-40,-19.534000000000002,2.04382e+18
161,-40,-35.5989,2.33913e+33
162,-40,-25.3681,6.01317e+23
163,-40,-13.5525,5053250000000.0
164,-40,-34.6384,2.94271e+32
165,-40,-21.8281,2.88939e+20
166,-40,-21.9751,3.9683e+20
167,-40,-20.3073,1.08468e+19
168,-40,-23.261,6.36726e+21
169,-40,-26.1838,3.4967e+24
170,-40,-14.7539,67562700000000.0
171,-40,-38.3361,8.6052e+35
172,-40,-28.834,1.06641e+27
173,-40,-31.7977,6.39655e+29
174,-40,-18.6035,2.74302e+17
175,-40,-24.0279,3.33331e+22
176,-40,-19.1079,8.14683e+17
177,-40,-24.838,1.91517e+23
178,-40,-32.8096,5.68158e+30
179,-40,-13.6698,6509420000000.0
180,-40,-22.5931,1.50634e+21
181,-40,-20.4079,1.34759e+19
182,-40,-27.2076,3.18668e+25
183,-40,-18.7986,4.1795e+17
184,-40,-20.8346,3.38531e+19
185,-40,-39.244,6.1076e+36
186,-40,-22.5085,1.25494e+21
187,-40,-28.0197,1.83911e+26
188,-40,-28.2382,2.94694e+26
189,-40,-26.6676,9.9352e+24
190,-40,-26.5225,7.26361e+24
191,-40,-35.4464,1.68295e+33
192,-40,-33.1955,1.30674e+31
193,-40,-18.9075,5.28709e+17
194,-40,-43.9967,1.74124e+41
195,-40,-23.274,6.54926e+21
196,-40,-27.5785,7.09699e+25
197,-40,-23.8938,2.49518e+22
198,-40,-28.5677,6.00135e+26
199,-40,-34.9885,6.26514e+32
200,-40,-27.6018,7.46246e+25
201,-40,-21.4197,1.19666e+20
202,-40,-17.8522,5.4192e+16
203,-40,-30.7998,7.4225e+28
204,-40,-31.5659,3.87878e+29
205,-40,-28.3227,3.53666e+26
206,-40,-25.3922,6.33451e+23
207,-40,-21.9634,3.86956e+20
208,-40,-39.0868,4.34986e+36
209,-40,-41.5398,8.665910000000001e+38
210,-40,-23.8758,2.40022e+22
211,-40,-20.9471,4.31564e+19
212,-40,-21.7308,2.34245e+20
213,-40,-21.8875,3.28467e+20
214,-40,-38.6062,1.54179e+36
215,-40,-21.648000000000003,1.95888e+20
216,-40,-32.7728,5.24832e+30
217,-40,-36.0057,5.62801e+33
218,-40,-34.2363,1.23549e+32
219,-40,-27.2646,3.60404e+25
220,-40,-30.4282,3.32853e+28
221,-40,-28.6182,6.69252e+26
222,-40,-39.7553,1.8411100000000001e+37
223,-40,-35.4291,1.62155e+33
224,-40,-18.164,1.06235e+17
225,-40,-45.7612,7.84813e+42
226,-40,-20.1336,7.45517e+18
227,-40,-25.3727,6.0727e+23
228,-40,-15.9649,922316000000000.0
229,-40,-20.9626,4.46209e+19
230,-40,-23.434,9.25013e+21
231,-40,-20.7211,2.64933e+19
232,-40,-25.1868,4.06541e+23
233,-40,-23.7365,1.77719e+22
234,-40,-15.8757,760775000000000.0
235,-40,-33.9618,6.83177e+31
236,-40,-21.1505,6.69418e+19
237,-40,-33.5524,2.8231e+31
238,-40,-35.5379,2.05075e+33
239,-40,-28.2363,2.93525e+26
240,-40,-19.7012,2.93163e+18
241,-40,-20.8196,3.27702e+19
242,-40,-21.9461,3.72798e+20
243,-40,-23.8788,2.41593e+22
244,-40,-20.8485,3.48837e+19
245,-40,-23.3367,7.49853e+21
246,-40,-22.2342,6.94262e+20
247,-40,-25.334,5.5859e+23
248,-40,-19.7369,3.16667e+18
249,-40,-16.9109,7105820000000000.0
250,-40,-32.9912,8.40857e+30
251,-40,-28.0747,2.07081e+26
252,-40,-26.0726,2.75054e+24
253,-40,-29.5819,5.35686e+27
254,-40,-25.4893,7.81119e+23
255,-40,-21.2101,7.61334e+19
256,-40,-29.6248,5.87658e+27
257,-40,-25.3376,5.63011e+23
258,-40,-23.1278,4.77668e+21
259,-40,-28.7998,9.90354e+26
260,-40,-21.6536,1.98256e+20
261,-40,-13.4413,3974920000000.0
262,-40,-29.9114,1.09107e+28
263,-40,-30.6354,5.2051e+28
264,-40,-30.3983,3.12062e+28
265,-40,-33.2384,1.43354e+31
266,-40,-30.4629,3.58695e+28
267,-40,-27.2923,3.82583e+25
268,-40,-29.3962,3.58825e+27
269,-40,-40.296,5.9152e+37
270,-40,-24.9705,2.54932e+23
271,-40,-23.9661,2.91702e+22
272,-40,-33.5798,2.99506e+31
273,-40,-36.1624,7.89306e+33
274,-40,-27.5645,6.88521e+25
275,-40,-21.9685,3.91265e+20
276,-40,-25.5688,9.27268e+23
277,-40,-22.8318,2.52156e+21
278,-40,-27.2755,3.69026e+25
279,-40,-28.1889,2.64967e+26
280,-40,-28.1695,2.54126e+26
281,-40,-31.506,3.40808e+29
282,-40,-16.2449,1688090000000000.0
283,-40,-25.6048,1.00218e+24
284,-40,-21.8012,2.72678e+20
285,-40,-23.0577,4.10633e+21
286,-40,-27.5134,6.16629e+25
287,-40,-20.1847,8.32529e+18
288,-40,-27.3533,4.36413e+25
289,-40,-30.0098,1.34907e+28
290,-40,-30.5394,4.23122e+28
291,-40,-19.4268,1.62175e+18
292,-40,-18.9243,5.48197e+17
293,-40,-25.4099,6.58049e+23
294,-40,-37.9397,3.65791e+35
295,-40,-30.9752,1.08382e+29
296,-40,-33.2362,1.42672e+31
297,-40,-28.703000000000003,8.03777e+26
298,-40,-28.5762,6.11321e+26
299,-40,-36.8903,3.79791e+34
300,-40,-35.1799,9.46812e+32
301,-40,-24.8919,2.15138e+23
302,-40,-21.5989,1.76177e+20
303,-40,-33.5031,2.53807e+31
304,-40,-27.1011,2.53269e+25
305,-40,-29.6773,6.58162e+27
306,-40,-25.7432,1.35115e+24
307,-40,-31.886,7.73997e+29
308,-40,-22.2514,7.20455e+20
309,-40,-25.6514,1.10824e+24
310,-40,-26.3487,4.99168e+24
311,-40,-25.6265,1.05026e+24
312,-40,-22.6569,1.72868e+21
313,-40,-17.2245,1.39821e+16
314,-40,-30.0912,1.60825e+28
315,-40,-21.2896,9.03858e+19
316,-40,-15.902000000000001,805244000000000.0
317,-40,-28.8591,1.12573e+27
318,-40,-27.0526,2.28093e+25
319,-40,-27.0872,2.4574e+25
320,-40,-22.732,2.03277e+21
321,-40,-47.9848,9.53091e+44
322,-40,-27.1663,2.91504e+25
323,-40,-32.2775,1.8019e+30
324,-40,-33.9606,6.81377e+31
325,-40,-31.134,1.52684e+29
326,-40,-16.3835,2276680000000000.0
327,-40,-31.0921,1.39488e+29
328,-40,-23.7123,1.68675e+22
329,-40,-11.0338,22013300000.0
330,-40,-9.14532,373662000.0
331,-40,-26.6672,9.92657e+24
332,-40,-20.7136,2.6069e+19
333,-40,-27.9339,1.52827e+26
334,-40,-23.2843,6.69613e+21
335,-40,-21.6712,2.05951e+20
336,-40,-30.4692,3.63656e+28
337,-40,-26.2637,4.15501e+24
338,-40,-25.3941,6.36038e+23
339,-40,-37.1916,7.27828e+34
340,-40,-21.7643,2.51775e+20
341,-40,-33.0308,9.15842e+30
342,-40,-22.0238,4.40785e+20
343,-40,-30.243000000000002,2.23186e+28
344,-40,-31.5059,3.40771e+29
345,-40,-25.8064,1.54843e+24
346,-40,-26.886999999999997,1.59526e+25
347,-40,-24.9478,2.42721e+23
348,-40,-31.0209,1.1961e+29
349,-40,-27.8251,1.20826e+26
350,-40,-27.0956,2.50282e+25
351,-40,-24.2539,5.42891e+22
352,-40,-25.5761,9.42011e+23
353,-40,-39.2556,6.26126e+36
354,-40,-34.245,1.25868e+32
355,-40,-19.755,3.29309e+18
356,-40,-16.6686,4212560000000000.0
357,-40,-34.7556,3.78916e+32
358,-40,-29.2581,2.66325e+27
359,-40,-38.4871,1.19222e+36
360,-40,-25.5079,8.13108e+23
361,-40,-22.3421,8.76262e+20
362,-40,-16.8447,6159520000000000.0
363,-40,-21.4709,1.33667e+20
364,-40,-14.7163,62302400000000.0
365,-40,-18.9383,5.64977e+17
366,-40,-28.9704,1.43142e+27
367,-40,-20.9347,4.20129e+19
368,-40,-42.9287,1.73676e+40
369,-40,-35.4079,1.54885e+33
370,-40,-34.7898,4.07944e+32
371,-40,-20.1794,8.2298e+18
372,-40,-40.4694,8.59905e+37
