idx,#T,-RT ln Z,Z
139,-80,-29.4996,2.38926e+33
140,-80,-56.8122,1.9142300000000003e+64
141,-80,-29.2589,1.27639e+33
142,-80,-46.1867,1.8175400000000002e+52
143,-80,-49.3134,6.27064e+55
144,-80,-47.6676,8.61072e+53
145,-80,-35.6014,1.9157700000000002e+40
146,-80,-32.9169,1.7577100000000002e+37
147,-80,-25.0196,2.03844e+28
148,-80,-40.8339,1.5952e+46
149,-80,-30.4322,2.71346e+34
150,-80,-25.275,3.9645e+28
151,-80,-20.8497,3.90042e+23
152,-80,-58.1501,6.2494e+65
153,-80,-48.1563,3.07638e+54
154,-80,-44.6024,2.93002e+50
155,-80,-40.7008,1.1280000000000001e+46
156,-80,-35.7186,2.6002600000000003e+40
157,-80,-38.8228,8.458800000000001e+43
158,-80,-39.0086,1.3726900000000001e+44
159,-80,-30.6035,4.24026e+34
160,-80,-29.929000000000002,7.31341e+33
161,-80,-47.2787,3.1262400000000003e+53
162,-80,-38.4555,3.24853e+43
163,-80,-24.5942,6.72809e+27
164,-80,-46.7488,7.86066e+52
165,-80,-32.1879,2.63064e+36
166,-80,-33.3923,6.06529e+37
167,-80,-30.4091,2.55467e+34
168,-80,-34.2224,5.2732400000000006e+38
169,-80,-36.2975,1.17495e+41
170,-80,-25.0565,2.24385e+28
171,-80,-49.4678,9.375290000000001e+55
172,-80,-39.116,1.81577e+44
173,-80,-44.8864,6.139730000000001e+50
174,-80,-28.5981,2.2818e+32
175,-80,-38.0792,1.21885e+43
176,-80,-28.8876,4.85112e+32
177,-80,-37.0385,8.09892e+41
178,-80,-47.996,2.02582e+54
179,-80,-22.8094,6.43408e+25
180,-80,-35.7818,3.06569e+40
181,-80,-31.1733,1.87108e+35
182,-80,-40.0668,2.16244e+45
183,-80,-28.7098,3.05215e+32
184,-80,-29.6145,3.22298e+33
185,-80,-52.5587,2.9463600000000005e+59
186,-80,-32.6247,8.20992e+36
187,-80,-39.146,1.96361e+44
188,-80,-38.4854,3.51196e+43
189,-80,-36.135999999999996,7.71407e+40
190,-80,-37.3758,1.9500000000000002e+42
191,-80,-50.841,3.3556e+57
192,-80,-46.8402,9.97477e+52
193,-80,-27.5788,1.60321e+31
194,-80,-57.4333,9.65619e+64
195,-80,-34.0176,3.0928800000000002e+38
196,-80,-41.7016,1.52973e+47
197,-80,-34.8726,2.86905e+39
198,-80,-40.8683,1.74494e+46
199,-80,-47.867,1.4475700000000002e+54
200,-80,-39.473,4.60242e+44
201,-80,-33.4941,7.90663e+37
202,-80,-27.284000000000002,7.43604e+30
203,-80,-44.2848,1.2807000000000001e+50
204,-80,-45.4557,2.70627e+51
205,-80,-39.7536,9.56187e+44
206,-80,-36.7945,4.2890500000000006e+41
207,-80,-32.5622,6.97491e+36
208,-80,-53.3709,2.44464e+60
209,-80,-53.6025,4.46965e+60
210,-80,-36.0049,5.48251e+40
211,-80,-31.4796,4.15529e+35
212,-80,-31.8101,9.83182e+35
213,-80,-31.7522,8.45374e+35
214,-80,-51.9708,6.369650000000001e+58
215,-80,-30.8655,8.39089e+34
216,-80,-46.0305,1.20969e+52
217,-80,-48.8879,2.0691e+55
218,-80,-47.2239,2.71074e+53
219,-80,-39.3853,3.66285e+44
220,-80,-43.1129,6.04691e+48
221,-80,-42.39,9.19634e+47
222,-80,-53.1144,1.25312e+60
223,-80,-47.8053,1.23276e+54
224,-80,-28.1716,7.51163e+31
225,-80,-59.4632,1.91265e+67
226,-80,-31.3465,2.93805e+35
227,-80,-36.8941,5.56001e+41
228,-80,-24.3468,3.53195e+27
229,-80,-29.8511,5.97033e+33
230,-80,-35.8172,3.3619100000000004e+40
231,-80,-31.4534,3.88165e+35
232,-80,-35.5722,1.77574e+40
233,-80,-33.6703,1.25125e+38
234,-80,-25.3485,4.80215e+28
235,-80,-49.8488,2.5296600000000003e+56
236,-80,-31.9576,1.4438000000000002e+36
237,-80,-46.4045,3.2056e+52
238,-80,-49.2623,5.48909e+55
239,-80,-38.6603,5.54014e+43
240,-80,-29.7926,5.12704e+33
241,-80,-29.7425,4.49925e+33
242,-80,-33.8008,1.75805e+38
243,-80,-33.0913,2.7685600000000003e+37
244,-80,-32.8608,1.5185400000000002e+37
245,-80,-34.1145,3.9804500000000004e+38
246,-80,-31.4679,4.03068e+35
247,-80,-36.515,2.0704e+41
248,-80,-29.5705,2.87403e+33
249,-80,-27.016,3.69974e+30
250,-80,-46.1545,1.67141e+52
251,-80,-39.8244,1.14987e+45
252,-80,-35.747,2.79942e+40
253,-80,-40.0223,1.9254100000000002e+45
254,-80,-35.9953,5.346140000000001e+40
255,-80,-29.6839,3.8625e+33
256,-80,-41.1628,3.75815e+46
257,-80,-34.5684,1.29893e+39
258,-80,-34.8693,2.84444e+39
259,-80,-39.9496,1.59315e+45
260,-80,-33.069,2.61232e+37
261,-80,-20.2889,9.04843e+22
262,-80,-44.0229,6.47457e+49
263,-80,-41.4737,8.448330000000001e+46
264,-80,-43.3419,1.0981100000000001e+49
265,-80,-46.2041,1.90153e+52
266,-80,-43.6002,2.1519600000000002e+49
267,-80,-39.5109,5.08065e+44
268,-80,-40.6119,8.94639e+45
269,-80,-54.1796,2.0102100000000002e+61
270,-80,-37.7413,5.05432e+42
271,-80,-35.5006,1.47352e+40
272,-80,-44.9421,7.09971e+50
273,-80,-48.8888,2.07429e+55
274,-80,-38.1187,1.35118e+43
275,-80,-31.892,1.21678e+36
276,-80,-38.6804,5.83675e+43
277,-80,-34.5639,1.2835800000000001e+39
278,-80,-40.2506,3.4904500000000004e+45
279,-80,-38.9067,1.05259e+44
280,-80,-40.6834,1.07783e+46
281,-80,-45.0154,8.592530000000001e+50
282,-80,-26.7831,2.01671e+30
283,-80,-38.3337,2.36544e+43
284,-80,-32.2066,2.76201e+36
285,-80,-31.7268,7.91213e+35
286,-80,-37.9377,8.4315e+42
287,-80,-30.8087,7.23696e+34
288,-80,-37.1277,1.02184e+42
289,-80,-40.8364,1.606e+46
290,-80,-44.8154,5.1038e+50
291,-80,-28.4751,1.65614e+32
292,-80,-29.3926,1.80812e+33
293,-80,-36.3582,1.3762200000000001e+41
294,-80,-50.8309,3.26821e+57
295,-80,-43.6425,2.4027200000000003e+49
296,-80,-46.9101,1.19676e+53
297,-80,-41.9683,3.0650500000000002e+47
298,-80,-41.0128,2.54257e+46
299,-80,-49.9204,3.0487600000000004e+56
300,-80,-47.3784,4.05357e+53
301,-80,-36.2237,9.69307e+40
302,-80,-32.4029,4.60647e+36
303,-80,-45.4863,2.9306100000000003e+51
304,-80,-38.8054,8.08383e+43
305,-80,-41.2949,5.301800000000001e+46
306,-80,-39.4811,4.701090000000001e+44
307,-80,-44.6924,3.7043000000000003e+50
308,-80,-32.5429,6.63273e+36
309,-80,-37.173,1.1496800000000001e+42
310,-80,-41.0576,2.85774e+46
311,-80,-36.5674,2.37352e+41
312,-80,-33.5934,1.0241e+38
313,-80,-26.9388,3.0258e+30
314,-80,-40.9926,2.412e+46
315,-80,-30.7929,6.94522e+34
316,-80,-26.8995,2.7313e+30
317,-80,-41.5541,1.04166e+47
318,-80,-37.6955,4.4858100000000004e+42
319,-80,-38.1968,1.65582e+43
320,-80,-33.7097,1.38658e+38
321,-80,-64.9643,3.2063100000000006e+73
322,-80,-37.6464,3.94648e+42
323,-80,-45.4436,2.62242e+51
324,-80,-45.7399,5.6745600000000004e+51
325,-80,-42.8617,3.14292e+48
326,-80,-27.073,4.29177e+30
327,-80,-41.8767,2.41427e+47
328,-80,-33.0572,2.53337e+37
329,-80,-19.1219,4.32595e+21
330,-80,-16.1253,1.75995e+18
331,-80,-38.3079,2.2118e+43
332,-80,-31.5362,4.81618e+35
333,-80,-39.6415,7.13997e+44
334,-80,-33.0933,2.78269e+37
335,-80,-32.0257,1.7238e+36
336,-80,-43.1021,5.87902e+48
337,-80,-38.5963,4.68874e+43
338,-80,-36.5934,2.5396e+41
339,-80,-51.7126,3.25023e+58
340,-80,-30.8687,8.46153e+34
341,-80,-46.457,3.67502e+52
342,-80,-33.2085,3.7570900000000004e+37
343,-80,-43.9893,5.93166e+49
344,-80,-42.8483,3.03441e+48
345,-80,-38.2344,1.82647e+43
346,-80,-38.1144,1.33595e+43
347,-80,-35.9447,4.68629e+40
348,-80,-41.9899,3.24218e+47
349,-80,-40.5255,7.1434e+45
350,-80,-41.3101,5.51633e+46
351,-80,-34.9643,3.64325e+39
352,-80,-37.7524,5.20269e+42
353,-80,-52.2722,1.39673e+59
354,-80,-46.9841,1.4510200000000001e+53
355,-80,-28.589000000000002,2.22828e+32
356,-80,-25.2914,4.13745e+28
357,-80,-47.1057,1.99225e+53
358,-80,-40.2428,3.42032e+45
359,-80,-50.949,4.44499e+57
360,-80,-35.8385,3.5530500000000003e+40
361,-80,-34.319,6.78189e+38
362,-80,-25.3023,4.25747e+28
363,-80,-32.1926,2.66281e+36
364,-80,-23.9672,1.3136e+27
365,-80,-28.7812,3.67607e+32
366,-80,-38.4776,3.44109e+43
367,-80,-30.3249,2.05154e+34
368,-80,-56.4683,7.81382e+63
369,-80,-46.4304,3.4294099999999997e+52
370,-80,-46.2768,2.2981600000000002e+52
371,-80,-30.0629,1.03675e+34
372,-80,-55.2535,3.29937e+62
373,-80,-41.4342,7.622170000000001e+46
374,-80,-31.3804,3.20955e+35
375,-80,-51.8274,4.3834900000000004e+58
376,-80,-32.1963,2.68852e+36
377,-80,-51.2935,1.09062e+58
378,-80,-45.5355,3.3317e+51
379,-80,-42.2243,5.97112e+47
380,-80,-46.1207,1.53033e+52
381,-80,-40.149,2.67862e+45
382,-80,-35.9383,4.60875e+40
383,-80,-41.301,5.387200000000001e+46
384,-80,-44.166000000000004,9.398730000000001e+49
385,-80,-39.0959,1.7232600000000002e+44
386,-80,-24.570999999999998,6.33461e+27
387,-80,-43.6351,2.35709e+49
388,-80,-38.3317,2.3535300000000004e+43
389,-80,-32.1459,2.3581e+36
390,-80,-38.2708,2.0081500000000002e+43
391,-80,-28.8515,4.41587e+32
392,-80,-36.7003,3.35571e+41
393,-80,-28.3836,1.30492e+32
394,-80,-37.2872,1.54837e+42
395,-80,-53.8781,9.166360000000001e+60
396,-80,-31.9119,1.28153e+36
397,-80,-46.457,3.67548e+52
398,-80,-41.0222,2.60543e+46
399,-80,-47.4139,4.446850000000001e+53
