idx,#T,-RT ln Z,Z
1,0,-16.1334,8095230000000.0
2,0,-9.46246,37228000.0
3,0,-14.2289,242362000000.0
4,0,-13.8582,122418000000.0
5,0,-20.9006,5.27756e+16
6,0,-23.1447,3.29605e+18
7,0,-6.80735,279591.0
8,0,-12.855,19285500000.0
9,0,-14.9611,933976000000.0
10,0,-11.642000000000001,2064060000.0
11,0,-7.30433,698490.0
12,0,-16.4875,15545400000000.0
13,0,-20.328,1.83785e+16
14,0,-14.8862,813559000000.0
15,0,-13.8229,114726000000.0
16,0,-19.4405,3582850000000000.0
17,0,-5.06358,11254.9
18,0,-18.927,1391240000000000.0
19,0,-10.9261,552001000.0
20,0,-16.6315,20265800000000.0
21,0,-15.6636,3406710000000.0
22,0,-15.436,2239980000000.0
23,0,-17.8974,208758000000000.0
24,0,-10.2898,170929000.0
25,0,-12.9019,21025800000.0
26,0,-15.0261,1052790000000.0
27,0,-9.54912,43672200.0
28,0,-12.7872,17021400000.0
29,0,-20.6635,3.41007e+16
30,0,-17.9475,228913000000000.0
31,0,-23.2495,3.99787e+18
32,0,-9.9373,89286200.0
33,0,-9.81853,71738800.0
34,0,-28.553,7.0007e+22
35,0,-9.42318,34629100.0
36,0,-12.6948,14357500000.0
37,0,-7.97978,2424280.0
38,0,-14.7074,585234000000.0
39,0,-11.5966,1898320000.0
40,0,-11.6895,2252870000.0
41,0,-16.3427,11904500000000.0
42,0,-17.7115,148202000000000.0
43,0,-13.7286,96415500000.0
44,0,-23.8055,1.11339e+19
45,0,-11.8589,3077760000.0
46,0,-8.463519999999999,5910380.0
47,0,-13.2709,41495800000.0
48,0,-18.33,463174000000000.0
49,0,-10.8906,516988000.0
50,0,-17.3083,70516400000000.0
51,0,-13.6832,88681800000.0
52,0,-17.8599,194798000000000.0
53,0,-7.49578,993892.0
54,0,-14.718,596792000000.0
55,0,-9.84657,75541800.0
56,0,-11.3393,1181760000.0
57,0,-17.0295,42192900000000.0
58,0,-11.0921,749395000.0
59,0,-25.8223,4.57359e+20
60,0,-16.14,8194740000000.0
61,0,-12.4145,8565560000.0
62,0,-7.802789999999999,1749720.0
63,0,-15.0396,1079260000000.0
64,0,-22.5249,1.05211e+18
65,0,-26.195,9.08887e+20
66,0,-9.40167,33283400.0
67,0,-16.469,15022300000000.0
68,0,-12.6351,12860700000.0
69,0,-13.8822,127965000000.0
70,0,-13.0591,28085800000.0
